,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
AXISBANK-SBIN,,-0.9519724653476549,0.7065172145691315,2.801162803991596,-0.753803234136993,0.030730025686450963,0.9821420160061441,,1.2863057283793706,-1.0012239830779113,-1.0165928535929512,1.2463754322013623,0.025932729620582212,2.5488788930399484
SBIN-UNIONBANK,,,,,,,,,-0.32591862801220495,-1.2171510811391066,0.7967948097581079,0.028653552701885993,2.489387774829352,
BANKBARODA-INDIANB,,,,,,,,,,5.2856832649138985,1.2291670427753663,-0.17801731490846304,-2.88736198450762,3.7282952298115277
FEDERALBNK-CUB,,,0.6889408758160994,-0.28825785582820346,-0.21184128088004858,1.7897112709160279,6.543714806093007,3.763262089537639,0.32042221279317695,,,,,
BANDHANBNK-CUB,2.830559054923411,2.527079136863994,0.03890934239396556,2.0252470941197336,-1.1592794165508424,4.24885435240245,4.390412631254965,1.9019763035076966,0.24007478257108467,,,,,
BAJAJFINSV-CHOLAFIN,,0.9380627837224508,0.730097249044555,1.3364651179369766,1.9707074189799316,-1.4668422907680387,-0.8573374905107846,2.2867620552091608,2.2651306719502684,2.4229887066813283,0.9842913463747544,1.3981193863377441,0.18163389532661828,1.22282422893091
CHOLAFIN-MUTHOOTFIN,,-1.813800488191554,0.9953467001579611,1.0907047598656463,2.0781576090094203,1.0409260721533782,0.27345048873057254,-0.554128625876104,1.9314786350849866,1.0550012156318456,,1.2529965525381026,4.434853216024025,3.6992401824079404
ICICIPRULI-LICI,,,,,,,,,,4.842058842317305,2.7325088609696424,-5.701167867424668,0.48894601712456764,0.25523564817985833
ONGC-OIL,,,,,,,,,,-0.5607099851841284,0.6430127673462317,1.1851852841674846,2.661983888579578,0.3489310731353486
ONGC-COALINDIA,,,-0.12552595014570575,-0.7087190938500355,1.885691162754767,-0.3140449496973084,1.157343275943008,,0.30692805507194976,1.2337858325134732,0.36670731337034324,1.0242831582400267,0.278001314462234,
OIL-COALINDIA,,,,,,,,,0.011379045861820673,0.9071169308009277,0.2813476891958054,2.2932666201535206,-0.7437572988355702,3.6394814617574984
IOC-HINDPETRO,,0.6938991713147556,-0.1867366256723169,1.3072108086864267,3.9106740136638662,0.9715593791456107,2.4536173061691353,-2.1005549357321325,1.4153488199853688,1.3209108975250117,1.2756265171328542,0.7494432593194436,-0.5014113015909039,-0.5356043248470259
IGL-ATGL,,,,,,,,,8.668580951825978,5.056141125902035,2.8353193226987194,,,
MGL-ATGL,,,,,,,,,8.499819960098348,4.768274620740289,-0.0007180330986511493,,,
NTPC-TATAPOWER,0.38807152642520043,1.0600379498955734,0.10739982646892483,3.6288976128330814,0.7483801929800253,0.29740606720623175,-0.4662260047337325,-0.6111177357768427,0.3591079951290207,-0.1283856128158905,1.6774464343548068,0.6117917655491577,-1.5376754551505494,0.6425536595743127
POWERGRID-TORNTPOWER,,,,,,,,,-0.16860742846045168,1.6007059092093037,3.8668172546544874,-1.1445106054069816,-0.624498622997937,1.999917313474881
ADANIGREEN-ADANIENSOL,,,,,,,,,1.1385187860108128,0.36152311506984036,4.003445569992812,5.736747833432252,0.8656173121155961,-0.04681033618760537
BALKRISIND-EXIDEIND,,-0.06291968724167173,0.8102153867654612,0.40908293528043266,-0.5652224183648583,2.912012560749537,1.9208402417228208,1.2644887433085015,4.137618855920119,0.7850160496636043,,,,
SUNPHARMA-LUPIN,,0.4002375405823956,2.007063680511192,0.7664505042261842,-1.9648323955536506,2.8320151447836723,2.3164360817642753,1.323318519369711,2.640907192241616,1.4329340383239646,0.2272138257219752,0.1090833067559488,-0.43188744639485677,2.9152973568518115
TORNTPHARM-GLENMARK,,-0.015952906812369997,0.025930508322197503,1.2636277997988985,-0.3225622623674914,1.2023038688335084,1.607272039606348,1.165656716808909,,0.6606202689496276,-1.3193921097078942,0.15637836055371368,2.0611510311672956,1.4065629743313275
ALKEM-GRANULES,,0.4636736022839579,-0.02209970099542426,-0.14735545264199063,3.0230943838130626,2.449995202308156,-0.864798641873295,2.543922134641148,1.03272475164382,0.5051537741430766,-0.305403471966641,,,
ULTRACEMCO-JKCEMENT,,1.8564412770064982,1.9067223479435658,2.6588682194906132,1.9760029438441042,-0.32862077232611325,4.844456410631508,1.3830341848194987,1.7844193801011208,,,,,
TATASTEEL-JINDALSTEL,,0.0242606858473026,0.6456667915741028,4.460166819664105,1.7158390308005245,2.547600107218545,0.2765477667551026,-0.339761959838347,0.08572482852468256,,,0.30784991969700176,3.699711449060823,6.544424385188473
HINDUNILVR-DABUR,,0.8635528259421079,1.0998215847229418,0.8485518937704857,0.7564394186831644,0.09980260493314864,0.08681086818238003,0.8688072275050216,1.3350023079694968,0.05843680678303112,1.8258102098953133,0.8654556675753311,-0.9187883286422844,0.18447153172235672
ITC-DABUR,,-0.028069134307254415,3.707597983027205,0.21527415794803748,1.5867143978264417,-0.7355740912561097,1.2112825634561482,-2.4776950591100966,0.910738871790791,0.3476137216462257,0.24217521367651113,,-1.2210091294327474,1.894286688687459
GODREJPROP-LODHA,,,,,,,,,5.240454741371799,1.0701332794922072,2.559664033287429,0.7003808278443648,0.09983289395319433,1.5338321921527998
LT-NCC,,,,,,,,,,2.2060645909949033,4.279939838861578,-6.757956535388217,,
IRB-NBCC,,,,,,,,,,4.263470509084139,-3.9346105135815552,,,
HAL-MAZDOCK,,,,,,,,,,,3.1636558981525673,0.5136472571452051,4.79985979797281,2.1157118192684243
HAVELLS-CROMPTON,,0.037118488338413164,2.19717735008245,,-1.3041949440905487,0.8474393833742329,0.581215746499092,4.0820747476490515,3.8399856788774054,1.4722590788357537,-1.0805181709540979,-0.6682920302640928,0.6392784361133172,-1.2514424951839498
HAVELLS-BLUESTARCO,,,,,,,,,,,,3.0629423916344263,-2.5215652779694904,8.2993911303602
HAVELLS-KEI,,,,,,,,,4.7033993971989965,,4.672373603451285,3.559321859703231,3.035519534369987,6.821087248552132
VOLTAS-BLUESTARCO,,,,,,,,,,,5.1391558928896,0.7477802011841089,4.347459213292353,8.16039226077408
POLYCAB-KEI,,,,,,,,,-0.13226248500357687,0.21381028598417917,,1.7582244985418745,7.455950177216868,3.3316400546686396
SRF-ATUL,-0.002105144529116764,-0.25115494690841383,0.9454198660039606,3.1741965030078823,0.743284158967971,2.2167147023288547,0.2710481121125345,2.3727969355779637,-1.0583326360565288,,,,,
HDFCAMC-KFINTECH,,,,,,,,,,,,2.028450774759704,-0.40446576443185345,1.3856615829181096
