date,equity,dd,deepening,regime,chop_score
2025-01-01,0.0,0.0,-0.0,,
2025-01-02,0.0,0.0,-0.0,,
2025-01-03,0.0,0.0,-0.0,,
2025-01-06,0.0,0.0,-0.0,,
2025-01-07,0.0,0.0,-0.0,,
2025-01-08,0.0,0.0,-0.0,,
2025-01-09,0.0,0.0,-0.0,,
2025-01-10,0.0,0.0,-0.0,,
2025-01-13,0.0,0.0,-0.0,,
2025-01-14,0.0,0.0,-0.0,,
2025-01-15,0.0,0.0,-0.0,,
2025-01-16,0.0,0.0,-0.0,,
2025-01-17,0.0,0.0,-0.0,,
2025-01-20,0.0,0.0,-0.0,,
2025-01-21,0.0,0.0,-0.0,,
2025-01-22,0.0,0.0,-0.0,,
2025-01-23,0.0,0.0,-0.0,,
2025-01-24,0.0,0.0,-0.0,,
2025-01-27,0.0,0.0,-0.0,,
2025-01-28,0.0,0.0,-0.0,,
2025-01-29,0.0,0.0,-0.0,normal,0.5304257039936996
2025-01-30,0.0,0.0,-0.0,normal,0.48944786225249354
2025-01-31,0.0,0.0,-0.0,whipsaw,0.39945601686611365
2025-02-01,0.0,0.0,-0.0,whipsaw,0.4279115847226235
2025-02-03,0.0,0.0,-0.0,normal,0.530330323748214
2025-02-04,0.0,0.0,-0.0,normal,0.4995205249143112
2025-02-05,0.0,0.0,-0.0,whipsaw,0.3486646028900906
2025-02-06,0.0,0.0,-0.0,whipsaw,0.3568867280744773
2025-02-07,0.0,0.0,-0.0,whipsaw,0.4415583089617715
2025-02-10,0.0,0.0,-0.0,normal,0.47832174088983387
2025-02-11,0.0,0.0,-0.0,whipsaw,0.43849294201967637
2025-02-12,0.0,0.0,-0.0,whipsaw,0.44807548151458315
2025-02-13,0.0,0.0,-0.0,normal,0.4754194626776448
2025-02-14,0.0,0.0,-0.0,normal,0.5573806213969038
2025-02-17,0.0,0.0,-0.0,normal,0.5611323013503784
2025-02-18,0.0,0.0,-0.0,normal,0.5771984958225764
2025-02-19,0.0,0.0,-0.0,normal,0.5227625852567489
2025-02-20,0.0,0.0,-0.0,whipsaw,0.43395943317357544
2025-02-21,0.0,0.0,-0.0,normal,0.47944262584641495
2025-02-24,0.0,0.0,-0.0,whipsaw,0.4190219599587176
2025-02-25,0.0,0.0,-0.0,whipsaw,0.4019224272729237
2025-02-27,0.0,0.0,-0.0,normal,0.49929976500124956
2025-02-28,0.0,0.0,-0.0,whipsaw,0.4067045234671385
2025-03-03,0.0,0.0,-0.0,whipsaw,0.3173544628484363
2025-03-04,0.0,0.0,-0.0,whipsaw,0.40422612042627715
2025-03-05,0.0,0.0,-0.0,whipsaw,0.4485884626813136
2025-03-06,0.0,0.0,-0.0,normal,0.487037189860424
2025-03-07,0.0,0.0,-0.0,normal,0.5445844687889343
2025-03-10,0.0,0.0,-0.0,normal,0.5439248159850233
2025-03-11,0.0,0.0,-0.0,normal,0.5183240280670768
2025-03-12,0.0,0.0,-0.0,normal,0.619891821133479
2025-03-13,0.0,0.0,-0.0,normal,0.6162163329016246
2025-03-17,0.0,0.0,-0.0,normal,0.5575632588486789
2025-03-18,0.0,0.0,-0.0,normal,0.5733718957628278
2025-03-19,0.0,0.0,-0.0,normal,0.603723177862612
2025-03-20,0.0,0.0,-0.0,normal,0.6018837857943234
2025-03-21,0.0,0.0,-0.0,normal,0.5894338283836493
2025-03-24,0.0,0.0,-0.0,normal,0.6511143504770531
2025-03-25,0.0,0.0,-0.0,normal,0.6102591356929289
2025-03-26,-0.05083409946983329,-0.05083409946983329,0.05083409946983329,normal,0.5182282617880029
2025-03-27,31.88102235636235,0.0,0,normal,0.629216792720491
2025-03-28,-60.57681896740159,-92.45784132376394,92.45784132376394,normal,0.5643223708000159
2025-04-01,24.942469233729724,-6.9385531226326265,0,normal,0.5845524563412211
2025-04-02,31.150011663202026,-0.7310106931603251,0,normal,0.5764157248908849
2025-04-03,-12.713951137630435,-44.59497349399278,43.863962800832454,normal,0.5114566879009155
2025-04-04,-133.2966653737141,-165.17768773007646,120.58271423608367,normal,0.588051076320041
2025-04-07,75.25988507099757,0.0,0,normal,0.6125477863749188
2025-04-08,-22.37779686809526,-97.63768193909283,97.63768193909283,normal,0.6010714429821085
2025-04-09,-55.39643165805193,-130.6563167290495,33.01863478995668,normal,0.568719641909591
2025-04-11,-23.947519380198756,-99.20740445119633,0,normal,0.5780269627048752
2025-04-15,13.999551152685605,-61.260333918311964,0,normal,0.5739521255081975
2025-04-16,1.880851558821874,-73.3790335121757,12.118699593863731,normal,0.6190555871916764
2025-04-17,-172.5853052740792,-247.84519034507676,174.46615683290105,normal,0.6790106325258087
2025-04-21,-235.67408548472758,-310.9339705557252,63.08878021064842,normal,0.6771422163899352
2025-04-22,-260.68037420817217,-335.9402592791697,25.006288723444527,normal,0.6787539372687525
2025-04-23,-198.55849561899646,-273.818380689994,0,normal,0.6809401619012504
2025-04-24,-292.5266873745228,-367.7865724455204,93.96819175552639,normal,0.6694424638441862
2025-04-25,-202.86302759112124,-278.1229126621188,0,normal,0.5979992566357482
2025-04-28,-322.71673604756825,-397.97662111856584,119.85370845644707,normal,0.6191401796669214
2025-04-29,-287.30700854872885,-362.56689361972644,0,normal,0.6258174635909616
2025-04-30,-240.4277774981346,-315.68766256913216,0,normal,0.5537109865809878
2025-05-02,-101.67926440162037,-176.93914947261794,0,normal,0.5225795560720538
2025-05-05,89.41417073316774,0.0,0,normal,0.5315280537065559
2025-05-06,90.1657386627089,0.0,-0.0,whipsaw,0.4086905465090957
2025-05-07,136.04216411222302,0.0,-0.0,whipsaw,0.36276084484288723
2025-05-08,128.90436677981012,-7.137797332412902,7.137797332412902,whipsaw,0.3622912762033304
2025-05-09,173.97724369019227,0.0,0,normal,0.4939869497614955
2025-05-12,162.12999651511012,-11.847247175082146,11.847247175082146,normal,0.49678893762425064
2025-05-13,200.6159073631287,0.0,0,whipsaw,0.44989824752212976
2025-05-14,257.57947914137895,0.0,-0.0,whipsaw,0.444498173441431
2025-05-15,284.79300744854186,0.0,-0.0,whipsaw,0.44413948429533384
2025-05-16,405.85114828069845,0.0,-0.0,whipsaw,0.4411389026172071
2025-05-19,420.9478596450718,0.0,-0.0,whipsaw,0.3982462456534964
2025-05-20,432.2692949906717,0.0,-0.0,normal,0.484845274477636
2025-05-21,441.9059158421792,0.0,-0.0,normal,0.4655566801550818
2025-05-22,435.3745924287295,-6.531323413449684,6.531323413449684,normal,0.5168199111187547
2025-05-23,432.08857082089986,-9.817345021279323,3.286021607829639,normal,0.467841088374869
2025-05-26,432.4113822303502,-9.494533611828956,0,normal,0.505499344905556
2025-05-27,442.04600494912125,0.0,0,normal,0.5183514150739618
2025-05-28,458.1271215928208,0.0,-0.0,normal,0.5021537713231734
2025-05-29,478.02326825107264,0.0,-0.0,normal,0.457411947949948
2025-05-30,496.27070340673134,0.0,-0.0,normal,0.4843406388293822
2025-06-02,504.0272217156873,0.0,-0.0,whipsaw,0.3442084460185157
2025-06-03,509.4319645697096,0.0,-0.0,whipsaw,0.4162694485897031
2025-06-04,502.1854780352266,-7.246486534482983,7.246486534482983,whipsaw,0.3586225657589132
2025-06-05,485.568252098274,-23.863712471435576,16.617225936952593,whipsaw,0.42704966962777097
2025-06-06,472.3706715570011,-37.06129301270846,13.197580541272885,normal,0.47158963846358576
2025-06-09,475.3400209470322,-34.09194362267738,0,whipsaw,0.4473593922775819
2025-06-10,501.36699170434423,-8.064972865365348,0,normal,0.4776036114349192
2025-06-11,503.1666485703271,-6.265315999382494,0,normal,0.5170127677345243
2025-06-12,515.3599468524437,0.0,0,normal,0.5409472365975387
2025-06-13,570.2540027343873,0.0,-0.0,normal,0.4985874738965932
2025-06-16,529.5581709976261,-40.69583173676119,40.69583173676119,normal,0.542351965099597
2025-06-17,580.7324134889182,0.0,0,normal,0.5421806957312922
2025-06-18,570.0457765949975,-10.68663689392065,10.68663689392065,normal,0.5689491132761083
2025-06-19,595.6987703427142,0.0,0,normal,0.6648949915900827
2025-06-20,589.6662058952687,-6.032564447445452,6.032564447445452,normal,0.6662276465290091
2025-06-23,606.221161644201,0.0,0,normal,0.6397697440737616
2025-06-24,645.2714247892395,0.0,-0.0,normal,0.4973379449425039
2025-06-25,651.5301901692106,0.0,-0.0,whipsaw,0.4234222991898876
2025-06-26,660.7319861532504,0.0,-0.0,normal,0.4941242083463862
2025-06-27,656.530589206655,-4.201396946595423,4.201396946595423,whipsaw,0.39838158415284325
2025-06-30,662.1811142884692,0.0,0,whipsaw,0.4021682077225476
2025-07-01,641.5819870373414,-20.59912725112781,20.59912725112781,whipsaw,0.4361582931337251
2025-07-02,682.7956817559622,0.0,0,whipsaw,0.40441098181163176
2025-07-03,676.135961528792,-6.659720227170169,6.659720227170169,normal,0.48637105711031536
2025-07-04,636.8117683527,-45.983913403262136,39.32419317609197,normal,0.48437377824438443
2025-07-07,642.0589943667039,-40.736687389258236,0,whipsaw,0.43535086932084616
2025-07-08,619.7860056732806,-63.00967608268161,22.272988693423372,normal,0.45940563518086747
2025-07-09,618.3285870235715,-64.4670947323907,1.4574186497090977,whipsaw,0.3885566453725241
2025-07-10,587.660701697397,-95.13498005856513,30.667885326174428,whipsaw,0.36669369128448764
2025-07-11,523.2233346157341,-159.5723471402281,64.43736708166296,whipsaw,0.405476851704764
2025-07-14,529.3002651486926,-153.4954166072696,0,whipsaw,0.3844936831989774
2025-07-15,498.68687600901603,-184.10880574694613,30.613389139676542,whipsaw,0.30824938072765573
2025-07-16,555.3061631686627,-127.48951858729947,0,whipsaw,0.2918624767409477
2025-07-17,555.6612269304582,-127.13445482550401,0,whipsaw,0.43600558848499854
2025-07-18,584.5757409586735,-98.2199407972887,0,whipsaw,0.34975321010477556
2025-07-21,603.5959506407108,-79.19973111525132,0,whipsaw,0.34159258769834355
2025-07-22,592.205430563839,-90.59025119212322,11.390520076871894,whipsaw,0.3919815049571595
2025-07-23,584.2922653617867,-98.50341639417547,7.913165202052255,whipsaw,0.3112888002246535
2025-07-24,624.1382930021908,-58.65738875377133,0,whipsaw,0.29234086842218265
2025-07-25,684.8843627775236,0.0,0,whipsaw,0.31639572505309393
2025-07-28,647.1459365603887,-37.73842621713493,37.73842621713493,normal,0.45753050864587735
2025-07-29,680.269518158682,-4.61484461884163,0,whipsaw,0.4397677277377357
2025-07-30,677.3885591885064,-7.495803589017214,2.880958970175584,normal,0.48051057905765215
2025-07-31,654.5748776250575,-30.309485152466095,22.81368156344888,whipsaw,0.3168976540699073
2025-08-01,687.6983267448941,0.0,0,whipsaw,0.3942371591481107
2025-08-04,713.796061068319,0.0,-0.0,whipsaw,0.42153876099459664
2025-08-05,718.5409503021818,0.0,-0.0,normal,0.4976993851722768
2025-08-06,701.6253712629369,-16.915579039244903,16.915579039244903,normal,0.5265584309853665
2025-08-07,693.955531532615,-24.585418769566786,7.669839730321883,normal,0.6026041643241772
2025-08-08,557.0770925273157,-161.46385777486614,136.87843900529936,normal,0.5902119236144001
2025-08-11,559.2112666075221,-159.3296836946597,0,normal,0.6003857334102797
2025-08-12,596.4532269417545,-122.08772336042739,0,normal,0.6198390601618284
2025-08-13,614.3093543323885,-104.23159596979337,0,normal,0.5163819868304623
2025-08-14,603.8656419477952,-114.67530835438663,10.443712384593255,normal,0.4968522315220434
2025-08-18,670.3360916441638,-48.204858658018,0,normal,0.5741184710943251
2025-08-19,759.0395363443238,0.0,0,normal,0.5395863610285235
2025-08-20,738.2916339872229,-20.747902357100884,20.747902357100884,normal,0.5181926649048301
2025-08-21,686.0772398909108,-72.96229645341293,52.21439409631205,normal,0.46710155987165286
2025-08-22,565.7806883734802,-193.2588479708436,120.29655151743066,whipsaw,0.4454149123631334
2025-08-25,622.9763901777459,-136.0631461665779,0,whipsaw,0.40561068570609254
2025-08-26,740.3324216344212,-18.707114709902612,0,whipsaw,0.33853616915265516
2025-08-28,724.4910727614188,-34.548463582905015,15.841348873002403,whipsaw,0.3539856884711243
2025-08-29,781.0972602571467,0.0,0,whipsaw,0.3135997476625246
2025-09-01,765.5902374136512,-15.50702284349552,15.50702284349552,whipsaw,0.29973835012561917
2025-09-02,735.1736870742707,-45.923573182876,30.41655033938048,whipsaw,0.40105373091849483
2025-09-03,773.3081958093604,-7.789064447786245,0,whipsaw,0.4232372903378269
2025-09-04,734.3754713607608,-46.721788896385874,38.93272444859963,normal,0.5136992139071704
2025-09-05,717.7139146005146,-63.38334565663206,16.661556760246185,normal,0.5308678754013976
2025-09-08,779.4760835807217,-1.621176676424966,0,whipsaw,0.43190675451051597
2025-09-09,752.9439051297504,-28.153355127396253,26.532178450971287,whipsaw,0.431180053863745
2025-09-10,783.1893535522248,0.0,0,whipsaw,0.45421122446914347
2025-09-11,809.4246109272818,0.0,-0.0,whipsaw,0.39577787900840605
2025-09-12,772.6198509844172,-36.80475994286462,36.80475994286462,normal,0.5028273809023215
2025-09-15,756.3869488895476,-53.03766203773421,16.232902094869587,normal,0.5096193066533424
2025-09-16,858.3950254491734,0.0,0,normal,0.5010199627383012
2025-09-17,890.8333868151931,0.0,-0.0,normal,0.4738125886242473
2025-09-18,920.3860720289983,0.0,-0.0,whipsaw,0.42005674488648803
2025-09-19,940.2176529252764,0.0,-0.0,whipsaw,0.3690305668477038
2025-09-22,951.50212053715,0.0,-0.0,whipsaw,0.4149784900263779
2025-09-23,938.7599707718257,-12.742149765324257,12.742149765324257,whipsaw,0.3821413075419951
2025-09-24,938.4656830505961,-13.036437486553837,0.2942877212295798,whipsaw,0.3770689105500089
2025-09-25,966.8592921379525,0.0,0,whipsaw,0.3867151412852019
2025-09-26,970.5092650342615,0.0,-0.0,whipsaw,0.39024458502304116
2025-09-29,962.7588615169409,-7.750403517320592,7.750403517320592,whipsaw,0.3735617334158285
2025-09-30,975.6770306092678,0.0,0,whipsaw,0.3828202008788635
2025-10-01,977.9210650730338,0.0,-0.0,normal,0.5787867566238668
2025-10-03,974.6477258460823,-3.2733392269515207,3.2733392269515207,normal,0.467454648004896
2025-10-06,948.0337042694503,-29.887360803583533,26.614021576632013,normal,0.548073895305554
2025-10-07,972.7244238194567,-5.196641253577127,0,normal,0.49740835537972217
2025-10-08,964.3378036380559,-13.583261434977885,8.386620181400758,normal,0.5176226868876517
2025-10-09,971.141784670058,-6.7792804029758145,0,normal,0.5239139932112314
2025-10-10,984.035104347287,0.0,0,normal,0.6021040206421295
2025-10-13,991.521399483873,0.0,-0.0,normal,0.5995460600491846
2025-10-14,978.741215206693,-12.780184277179956,12.780184277179956,normal,0.6607089386890821
2025-10-15,958.6177768385268,-32.90362264534622,20.123438368166262,normal,0.6648939243551888
2025-10-16,942.3956280464433,-49.12577143742965,16.22214879208343,normal,0.6420524374717785
2025-10-17,927.0123949959045,-64.50900448796847,15.38323305053882,normal,0.6131021053335028
2025-10-20,897.7417746381739,-93.77962484569912,29.27062035773065,normal,0.6942603960752275
2025-10-21,931.1907123682407,-60.33068711563226,0,normal,0.739442629425274
2025-10-23,897.5760570088422,-93.94534247503077,33.61465535939851,normal,0.7019568258213139
2025-10-24,1017.7829041150243,0.0,0,normal,0.6683191191432799
2025-10-27,1084.1559074063728,0.0,-0.0,normal,0.7080084416631903
2025-10-28,1040.4623784485402,-43.69352895783254,43.69352895783254,normal,0.6648947316569068
2025-10-29,1077.342113476315,-6.813793930057727,0,normal,0.6683044079717474
2025-10-30,1106.7578173440747,0.0,0,normal,0.6857138404358263
2025-11-03,1118.251158556278,0.0,-0.0,normal,0.6333058873900388
2025-11-04,1170.4169888213594,0.0,-0.0,normal,0.48916698351470467
2025-11-06,1204.727857956343,0.0,-0.0,normal,0.48222763560189663
2025-11-07,1175.2257464133265,-29.502111543016554,29.502111543016554,normal,0.4977073606126092
2025-11-10,1184.6665798638442,-20.061278092498924,0,whipsaw,0.42357369920130705
2025-11-11,1195.390150041102,-9.337707915241026,0,whipsaw,0.3999531363312347
2025-11-12,1229.8404235585106,0.0,0,whipsaw,0.4193849242971331
2025-11-13,1235.4836343998302,0.0,-0.0,whipsaw,0.45409940314494124
2025-11-14,1235.2623067802704,-0.2213276195598155,0.2213276195598155,normal,0.48744531039171274
2025-11-17,1219.2803877437286,-16.203246656101555,15.98191903654174,normal,0.5573604167667446
2025-11-18,1199.2634392574562,-36.220195142373996,20.01694848627244,normal,0.5591674874156572
2025-11-19,1196.4004171348327,-39.08321726499753,2.8630221226235335,normal,0.5915250873000336
2025-11-20,1227.0761794552986,-8.407454944531537,0,normal,0.5060428838357595
2025-11-21,1237.168721247339,0.0,0,normal,0.52471002824162
2025-11-24,1238.718707924149,0.0,-0.0,normal,0.5783676351567886
2025-11-25,1211.72062692207,-26.998081002078834,26.998081002078834,normal,0.6016455738959021
2025-11-26,1204.6847508375727,-34.033957086576265,7.035876084497431,normal,0.6015722638192071
2025-11-27,1218.9764490577227,-19.742258866426255,0,normal,0.598107617121354
2025-11-28,1193.3776452941217,-45.34106263002718,25.598803763600927,normal,0.5926522042445734
2025-12-01,1187.16514263269,-51.55356529145888,6.212502661431699,normal,0.5713121657465424
2025-12-02,1197.199748131503,-41.518959792646,0,normal,0.5497679662307836
2025-12-03,1173.4633634090155,-65.2553445151334,23.7363847224874,normal,0.5327884368518699
2025-12-04,1184.2835371602146,-54.435170763934366,0,normal,0.5489406380520424
2025-12-05,1165.7568544614169,-72.96185346273205,18.526682698797686,normal,0.5976107681224693
2025-12-08,1173.641924302262,-65.07678362188699,0,normal,0.5462938206610637
2025-12-09,1150.660885049588,-88.057822874561,22.98103925267401,normal,0.6687605467537282
2025-12-10,1148.154801679834,-90.56390624431492,2.5060833697539238,normal,0.5155080079893973
2025-12-11,1172.1299946627466,-66.58871326140229,0,normal,0.5215087651291845
2025-12-12,1178.1676227886971,-60.551085135451785,0,normal,0.5123275046969495
2025-12-15,1186.5829416646318,-52.13576625951714,0,normal,0.5480315202806731
2025-12-16,1179.6241256561948,-59.09458226795414,6.958816008436997,normal,0.5030397303179179
2025-12-17,1154.9131755945905,-83.80553232955845,24.710950061604308,normal,0.5067338845934853
2025-12-18,1169.7221407616025,-68.9965671625464,0,normal,0.5926886746373455
2025-12-19,1153.1313404380548,-85.58736748609408,16.590800323547683,normal,0.647369755362769
2025-12-22,1137.9062510792025,-100.81245684494638,15.225089358852301,normal,0.5932861995762281
2025-12-23,1129.5898942589226,-109.12881366522629,8.316356820279907,normal,0.48988667629882926
2025-12-24,1148.3818424916374,-90.33686543251156,0,normal,0.4668561264473237
2025-12-26,1171.5327747036386,-67.18593322051038,0,normal,0.5195889966749967
2025-12-29,1159.419740732687,-79.298967191462,12.11303397095162,normal,0.4943235620588865
2025-12-30,1138.6119082354319,-100.10679968871705,20.80783249725505,normal,0.4621121061497539
2025-12-31,1187.0223642895403,-51.69634363460864,0,whipsaw,0.32570692737783824
2026-01-01,1150.4898234169432,-88.22888450720575,36.53254087259711,normal,0.4916619649018441
2026-01-02,1138.8955439437314,-99.82316398041758,11.594279473211827,normal,0.5893024795942152
2026-01-05,1117.933872402853,-120.78483552129592,20.961671540878342,normal,0.5867017541799029
2026-01-06,1187.5425910723482,-51.17611685180077,0,normal,0.5150636919477888
2026-01-07,1174.0791131086535,-64.63959481549546,13.463477963694686,normal,0.4714450089123992
2026-01-08,1173.6042592417298,-65.11444868241915,0.474853866923695,whipsaw,0.40917347023764344
2026-01-09,1184.6484827513063,-54.070225172842584,0,whipsaw,0.424034730316072
2026-01-12,1156.572546154074,-82.14616177007497,28.075936597232385,normal,0.5646740898539166
2026-01-13,1227.5485128185048,-11.170195105644098,0,normal,0.5338253231620689
2026-01-14,1214.6744276741633,-24.044280249985604,12.874085144341507,normal,0.475045098299698
2026-01-16,1157.7462074279413,-80.97250049620766,56.928220246222054,whipsaw,0.42836971655660017
2026-01-19,1131.889029485091,-106.82967843905794,25.857177942850285,normal,0.4778552428875298
2026-01-20,1169.4914771912277,-69.22723073292127,0,whipsaw,0.42749114857400106
2026-01-21,1183.5921802608887,-55.126527663260276,0,whipsaw,0.4195815714030074
2026-01-22,1167.4433808968674,-71.27532702728149,16.148799364021215,normal,0.4612202645930596
2026-01-23,1202.9924956433726,-35.72621228077628,0,whipsaw,0.4508406063664944
2026-01-27,1139.4501060428192,-99.26860188132969,63.542389600553406,normal,0.4907890604324687
2026-01-28,1194.8128856657602,-43.90582225838875,0,normal,0.5653483076989565
2026-01-29,1169.3914088748554,-69.32729904929352,25.421476790904762,normal,0.6118100415265805
2026-01-30,1168.0924332659117,-70.62627465823721,1.2989756089436924,normal,0.5379303852493674
2026-02-01,1230.4335306086423,-8.285177315506644,0,normal,0.5187814648802366
2026-02-02,1267.7806981725812,0.0,0,normal,0.5374778302173935
2026-02-03,1316.027152593451,0.0,-0.0,normal,0.5320566998787682
2026-02-04,1295.8759374869508,-20.15121510650033,20.15121510650033,normal,0.47603351358171003
2026-02-05,1286.968212268918,-29.05894032453307,8.907725218032738,normal,0.6148314585257715
2026-02-06,1347.9454550577404,0.0,0,normal,0.5952837950391093
2026-02-09,1348.5110381069146,0.0,-0.0,normal,0.6462968595261056
2026-02-10,1328.6294375606572,-19.88160054625746,19.88160054625746,normal,0.7316166473145149
2026-02-11,1292.2115145331352,-56.299523573779425,36.417923027521965,normal,0.6984750513046645
2026-02-12,1261.7030438290994,-86.80799427781517,30.508470704035744,normal,0.665171079302986
2026-02-13,1277.2409131466343,-71.27012496028033,0,normal,0.5627732885627377
2026-02-16,1269.871535556225,-78.63950255068971,7.3693775904093854,normal,0.597649489625928
2026-02-17,1294.1075971453695,-54.40344096154513,0,normal,0.5838657691789233
2026-02-18,1306.1961111442108,-42.314926962703794,0,normal,0.5486400597602403
2026-02-19,1265.6114257692818,-82.89961233763279,40.584685374928995,normal,0.5686285561406912
2026-02-20,1281.0049351075734,-67.50610299934124,0,normal,0.5047925787081818
2026-02-23,1244.527651036274,-103.98338707064067,36.47728407129944,normal,0.5783308616738393
2026-02-24,1211.403352467462,-137.1076856394527,33.12429856881204,normal,0.4898303616895532
2026-02-25,1171.5393961789964,-176.9716419279182,39.86395628846549,normal,0.45758557164897323
2026-02-26,1165.2753330241023,-183.23570508281227,6.264063154894075,normal,0.6116552719063781
2026-02-27,1143.671013147015,-204.84002495989967,21.60431987708739,normal,0.6866680916775194
2026-03-02,1148.4442043345132,-200.06683377240142,0,normal,0.6958460294621348
2026-03-04,1139.2038581666372,-209.30717994027736,9.240346167875941,normal,0.5533991953799909
2026-03-05,1125.2158048110084,-223.2952332959062,13.988053355628836,normal,0.5080793047689264
2026-03-06,1100.21155528741,-248.29948281950465,25.004249523598446,whipsaw,0.43797448597004723
2026-03-09,1055.1827797380697,-293.3282583688449,45.02877554934025,whipsaw,0.43657902010723476
2026-03-10,1049.2889460371102,-299.2220920698044,5.893833700959476,whipsaw,0.45591043409695187
2026-03-11,965.3482895640815,-383.1627485428331,83.94065647302875,normal,0.5187933699896178
2026-03-12,985.8430305750675,-362.66800753184714,0,normal,0.5336392205658204
2026-03-13,910.2479713918565,-438.26306671505813,75.59505918321099,normal,0.5932749638241307
2026-03-16,977.2124213659312,-371.29861674098345,0,normal,0.47275677266921784
2026-03-17,994.4511835257741,-354.0598545811405,0,whipsaw,0.4524647215269337
2026-03-18,1053.3931203737914,-295.11791773312325,0,whipsaw,0.41768054150753964
2026-03-19,931.6395624322797,-416.8714756746349,121.75355794151164,normal,0.5056353180637118
2026-03-20,914.7806572752044,-433.73038083171025,16.858905157075355,normal,0.5382038237297709
2026-03-23,779.3647182195334,-569.1463198873812,135.41593905567095,normal,0.5842088347037893
2026-03-24,863.4818785611617,-485.0291595457529,0,normal,0.4701760190281266
2026-03-25,928.6709208036629,-419.84011730325176,0,whipsaw,0.44629886006260855
2026-03-27,817.7949820047534,-530.7160561021612,110.87593879890949,normal,0.5015467208182274
2026-03-30,685.222611154883,-663.2884269520316,132.57237084987037,normal,0.5748397880310991
2026-04-01,751.3578468142864,-597.1531912926282,0,normal,0.530787006539022
2026-04-02,686.950963323463,-661.5600747834516,64.40688349082336,normal,0.540878316377025
2026-04-06,769.4817317499193,-579.0293063569953,0,whipsaw,0.39538420575195177
2026-04-07,759.5637984645543,-588.9472396423603,9.917933285364938,normal,0.48503421138522607
2026-04-08,915.4218802256056,-433.089157881309,0,whipsaw,0.28787216365026486
2026-04-09,872.257964824121,-476.2530732827936,43.16391540148459,whipsaw,0.30922585685105697
2026-04-10,921.6695530993907,-426.84148500752394,0,whipsaw,0.3755744276622073
2026-04-13,914.9865428716156,-433.524495235299,6.683010227775071,whipsaw,0.37531665178371926
2026-04-15,973.1462943043736,-375.36474380254106,0,whipsaw,0.39665757602276974
2026-04-16,984.3189109598313,-364.1921271470833,0,normal,0.49718890433469054
2026-04-17,984.8239169289656,-363.68712117794905,0,whipsaw,0.4180620661657782
2026-04-20,965.3777149632479,-383.13332314366676,19.446201965717705,whipsaw,0.3313082589969275
2026-04-21,1002.7114325882648,-345.79960551864986,0,whipsaw,0.33420379049491417
2026-04-22,993.1747834428209,-355.33625466409376,9.536649145443903,whipsaw,0.38774352134427115
2026-04-23,993.3565675837599,-355.1544705231547,0,whipsaw,0.42923210494443625
2026-04-24,976.8154688316242,-371.6955692752904,16.541098752135667,normal,0.5155334430896505
2026-04-27,1052.685015982606,-295.82602212430857,0,normal,0.45734293527265374
2026-04-28,1028.4437748654032,-320.06726324151145,24.24124111720289,whipsaw,0.3657363178481141
2026-04-29,1030.9902481226181,-317.52078998429647,0,whipsaw,0.32796982380102147
2026-04-30,1028.489977662499,-320.0210604444155,2.5002704601190544,whipsaw,0.4405205688584832
2026-05-04,1044.996027776913,-303.5150103300016,0,normal,0.5197604093978472
2026-05-05,1028.3799714552872,-320.1310666516274,16.61605632162582,normal,0.5394381170459102
2026-05-06,1053.3196824200218,-295.19135568689285,0,whipsaw,0.43195386633723815
2026-05-07,1022.7237186080455,-325.7873194988691,30.595963811976276,whipsaw,0.44349871201340796
2026-05-08,1011.2477778226125,-337.2632602843021,11.475940785432954,normal,0.5604698609593287
2026-05-11,984.7544217098828,-363.75661639703185,26.49335611272977,normal,0.4862780722393171
2026-05-12,1018.8654925883242,-329.64554551859044,0,whipsaw,0.4507483471491519
2026-05-13,995.8219598160331,-352.6890782908815,23.043532772291087,whipsaw,0.43027004440940453
2026-05-14,970.2614979768786,-378.24954013003605,25.560461839154527,normal,0.4666493555301589
2026-05-15,947.3319935063655,-401.1790446005491,22.929504470513052,normal,0.4577404792303668
2026-05-18,941.3019147777976,-407.209123329117,6.030078728567901,whipsaw,0.4495823800737782
2026-05-19,925.1309303703662,-423.38010773654844,16.170984407431433,normal,0.5126951137418576
2026-05-20,899.4171901539185,-449.09384795299616,25.713740216447718,normal,0.5779355449552717
2026-05-21,931.2079023559166,-417.30313575099797,0,normal,0.5329493727313173
2026-05-22,927.302487786142,-421.2085503207726,3.9054145697746208,normal,0.46443528708899945
2026-05-25,951.6603564554503,-396.85068165146436,0,whipsaw,0.45063538096659755
2026-05-26,899.4779077835627,-449.0331303233519,52.18244867188753,whipsaw,0.4224543685073792
2026-05-27,801.0209889415066,-547.490049165408,98.4569188420561,normal,0.6612400770853079
2026-05-29,826.449983523759,-522.0610545831556,0,normal,0.6388800489233957
